# Instrument-source: '/home/cosmos/PycharmProjects/deti_IR8/H3_RPN_testing/H3_RPN.instr'
# Date: Tue Apr 24 20:52:58 2018
# Ncount: 5e6
# Numpoints: 45
# Param: monok_lambda = 6.0
# Param: scat_angle = 0.3
# Param: sample_index = 0
# type: multiarray_1d(45)
# title: Scan of scat_angle
# xvars: scat_angle
# yvars: (Detector_I,Detector_ERR)
# xlabel: 'scat_angle'
# ylabel: 'Intensity'
# xlimits: 0.3 1.8
# filename: mccode.dat
# variables: scat_angle  Detector_I Detector_ERR
0.3  61601.6 722.572
0.334090909090909  57267.8 695.23
0.368181818181818  60956.2 718.7
0.402272727272727  60420.4 716.113
0.436363636363636  57395.5 697.292
0.470454545454545  62433.8 725.206
0.504545454545455  58385.5 700.304
0.538636363636364  54432 660.223
0.572727272727273  44968.8 547.897
0.606818181818182  30652.3 375.286
0.640909090909091  16146.1 209.819
0.675  5780.14 87.9953
0.709090909090909  1559.15 23.5055
0.743181818181818  851.18 10.4689
0.777272727272727  1127.5 13.8563
0.811363636363636  1594.4 18.8349
0.845454545454545  2080.07 24.9839
0.879545454545454  3284.73 41.8877
0.913636363636364  5553.24 70.8092
0.947727272727273  9364.32 116.871
0.981818181818182  15968.4 194.567
1.01590909090909  23879.7 292.555
1.05  32195.4 404.994
1.08409090909091  43669.6 523.629
1.11818181818182  50507.4 605.662
1.15227272727273  56417.3 667.304
1.18636363636364  55792.9 667.282
1.22045454545455  54009.2 639.986
1.25454545454545  48190.8 568.76
1.28863636363636  36861.1 451.494
1.32272727272727  27345 338.319
1.35681818181818  17922.5 222.183
1.39090909090909  10678 132.985
1.425  6151.84 75.843
1.45909090909091  3512.63 44.8373
1.49318181818182  2110.55 26.1056
1.52727272727273  1623.25 19.4351
1.56136363636364  1190.77 14.6651
1.59545454545455  733.196 9.22416
1.62954545454545  591.158 7.25269
1.66363636363636  625.921 7.50896
1.69772727272727  656.132 7.69535
1.73181818181818  630.597 7.53679
1.76590909090909  647.118 7.63886
1.8  657.599 7.70949
