# Instrument-source: '/home/cosmos/PycharmProjects/deti_IR8/H3_RPN_testing/H3_RPN.instr'
# Date: Tue Apr 24 20:27:31 2018
# Ncount: 5e6
# Numpoints: 45
# Param: monok_lambda = 6.0
# Param: scat_angle = 0.3
# Param: sample_index = 1
# type: multiarray_1d(45)
# title: Scan of scat_angle
# xvars: scat_angle
# yvars: (Detector_I,Detector_ERR)
# xlabel: 'scat_angle'
# ylabel: 'Intensity'
# xlimits: 0.3 2.5
# filename: mccode.dat
# variables: scat_angle  Detector_I Detector_ERR
0.3  58463.7 704.095
0.35  58625.3 702.295
0.4  57855.9 696.991
0.45  58751 701.877
0.5  59516 703.66
0.55  57567.5 690.877
0.6  59921.7 702.105
0.65  60519.3 705.196
0.7  58576.4 690.934
0.75  58098.8 689.027
0.8  55810.4 672.572
0.85  59415.7 692.324
0.9  58255.9 683.727
0.95  57493.2 677.508
1  58704.9 681.359
1.05  56106.3 663.096
1.1  57497.5 670.819
1.15  56748.7 664.656
1.2  54167.6 651.145
1.25  53410.1 643.693
1.3  52099.3 633.271
1.35  55250.3 651.363
1.4  54903.5 647.1
1.45  53581.5 633.191
1.5  53319.3 628.494
1.55  50582.7 609.753
1.6  50395.8 608.46
1.65  52282.5 616.904
1.7  52921.1 622.003
1.75  53913.1 626.081
1.8  49723.8 589.545
1.85  42585.4 505.11
1.9  27508.8 336.715
1.95  14039.5 175.836
2  6254 79.3452
2.05  2174.02 27.8116
2.1  1031.61 12.3347
2.15  748.034 9.11497
2.2  580.439 6.80557
2.25  383.532 4.88932
2.3  196.671 2.33672
2.35  49.8902 1.14715
2.4  0 0
2.45  0 0
2.5  0 0
